,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,SNC,0.0,0.000,0.885,1.0,0,1,5016,283231,0.0,0.000,0.885,1.0,0,1,13385,283231,0.0,0.000,0.919,1.0,0,1,2864,283231,0.0,0.000,0.838,1.0,0,1,11218,283231
1,NEP,0.0,0.000,0.931,1.0,0,1,5016,283231,21.162,29.771,0.000,0.163,1,1,13384,283231,0.0,0.000,0.951,1.0,0,1,2864,283231,0.0,0.000,0.903,1.0,0,1,11218,283231
2,CAS,0.0,0.000,0.896,1.0,0,1,5016,283231,0.0,0.000,0.785,1.0,0,1,13385,283231,0.0,0.000,0.880,1.0,0,1,2864,283231,0.0,0.000,0.762,1.0,0,1,11218,283231
3,SMC,0.0,0.000,0.913,1.0,0,1,5016,283231,0.0,0.000,0.863,1.0,0,1,13385,283231,0.0,0.000,0.938,1.0,0,1,2864,283231,0.0,0.000,0.877,1.0,0,1,11218,283231
4,CSO,0.0,0.000,0.733,1.0,0,5,5016,283227,0.0,0.000,0.592,1.0,0,5,13385,283227,0.0,0.000,0.789,1.0,0,5,2864,283227,0.0,0.000,0.608,1.0,0,5,11218,283227
5,CSS,0.0,0.000,0.755,1.0,0,3,5016,283229,0.0,0.000,0.635,1.0,0,3,13385,283229,0.0,0.000,0.828,1.0,0,3,2864,283229,0.0,0.000,0.664,1.0,0,3,11218,283229
6,CME,0.0,0.000,0.881,1.0,0,2,5016,283230,0.0,0.000,0.796,1.0,0,2,13385,283230,0.0,0.000,0.916,1.0,0,2,2864,283230,0.0,0.000,0.833,1.0,0,2,11218,283230
7,KCX,0.0,0.000,0.785,1.0,0,3,5016,283229,0.0,0.000,0.648,1.0,0,3,13385,283229,0.0,0.000,0.859,1.0,0,3,2864,283229,0.0,0.000,0.723,1.0,0,3,11218,283229
8,OCS,0.0,0.000,0.819,1.0,0,3,5016,283229,0.0,0.000,0.740,1.0,0,3,13385,283229,0.0,0.000,0.871,1.0,0,3,2864,283229,0.0,0.000,0.746,1.0,0,3,11218,283229
9,SEC,0.0,0.000,0.789,1.0,0,2,5016,283230,0.0,0.000,0.619,1.0,0,2,13385,283230,0.0,0.000,0.820,1.0,0,2,2864,283230,0.0,0.000,0.655,1.0,0,2,11218,283230
10,SEP,0.0,0.000,0.897,1.0,0,1,5016,283231,0.0,0.000,0.783,1.0,0,1,13385,283231,0.0,0.000,0.920,1.0,0,1,2864,283231,0.0,0.000,0.854,1.0,0,1,11218,283231
11,MLY,0.0,0.000,0.726,1.0,0,8,5016,283224,0.0,0.000,0.668,1.0,0,8,13385,283224,0.0,0.000,0.861,1.0,0,8,2864,283224,0.0,0.000,0.726,1.0,0,8,11218,283224
12,CSD,0.0,0.000,0.832,1.0,0,2,5016,283230,0.0,0.000,0.768,1.0,0,2,13385,283230,0.0,0.000,0.849,1.0,0,2,2864,283230,0.0,0.000,0.715,1.0,0,2,11218,283230
13,SEB,0.0,0.000,0.866,1.0,0,1,5016,283231,0.0,0.000,0.837,1.0,0,1,13385,283231,0.0,0.000,0.918,1.0,0,1,2864,283231,0.0,0.000,0.837,1.0,0,1,11218,283231
14,CSP,0.0,0.000,0.896,1.0,0,1,5016,283231,0.0,0.000,0.853,1.0,0,1,13385,283231,0.0,0.000,0.926,1.0,0,1,2864,283231,0.0,0.000,0.853,1.0,0,1,11218,283231
15,LLP,0.0,0.000,0.651,1.0,0,8,5016,283224,0.0,0.000,0.437,1.0,0,8,13385,283224,0.0,0.000,0.754,1.0,0,8,2864,283224,0.0,0.000,0.531,1.0,0,8,11218,283224
16,GLY,0.338,0.333,0.000,0.0,141,22339,4875,260893,0.648,0.640,0.000,0.0,704,22339,12681,260893,1.044,1.033,0.639,1.0,235,22339,2629,260893,1.04,1.029,0.415,0.523,917,22339,10301,260893
17,ALA,0.471,0.465,0.000,0.0,246,27969,4770,255263,0.913,0.905,0.001,0.006,1217,27969,12168,255263,0.931,0.932,0.274,0.584,265,27969,2599,255263,0.897,0.898,0.001,0.003,1004,27969,10214,255263
18,SER,0.492,0.497,0.000,0.0,132,14742,4884,268490,0.745,0.752,0.000,0.0,526,14742,12859,268490,0.866,0.871,0.126,0.271,130,14742,2734,268490,0.919,0.923,0.078,0.143,539,14742,10679,268490
19,ASP,0.577,0.571,0.000,0.0,181,17250,4835,265982,0.433,0.426,0.000,0.0,366,17250,13019,265982,0.341,0.336,0.000,0.0,62,17250,2802,265982,0.604,0.596,0.000,0.0,423,17250,10795,265982
20,GLU,0.632,0.626,0.000,0.0,219,19084,4797,264148,0.496,0.484,0.000,0.0,463,19084,12922,264148,0.532,0.525,0.000,0.0,106,19084,2758,264148,0.53,0.523,0.000,0.0,414,19084,10804,264148
21,THR,0.649,0.650,0.000,0.0,177,15106,4839,268126,1.049,1.052,0.189,0.379,747,15106,12638,268126,0.898,0.896,0.214,0.526,138,15106,2726,268126,1.067,1.065,0.135,0.254,636,15106,10582,268126
22,ASN,0.684,0.687,0.000,0.0,145,11820,4871,271412,0.62,0.617,0.000,0.0,352,11820,13033,271412,0.375,0.373,0.000,0.0,46,11820,2818,271412,0.716,0.714,0.000,0.0,339,11820,10879,271412
23,LYS,0.716,0.708,0.000,0.0,178,13842,4838,269390,0.533,0.521,0.000,0.0,357,13842,13028,269390,0.388,0.381,0.000,0.0,56,13842,2808,269390,0.575,0.568,0.000,0.0,322,13842,10896,269390
24,GLN,0.726,0.729,0.000,0.0,170,13049,4846,270183,0.567,0.566,0.000,0.0,357,13049,13028,270183,0.451,0.451,0.000,0.0,61,13049,2803,270183,0.493,0.494,0.000,0.0,261,13049,10957,270183
25,PRO,0.761,0.740,0.000,0.0,182,13348,4834,269884,0.847,0.812,0.000,0.0,538,13348,12847,269884,0.724,0.693,0.000,0.003,99,13348,2765,269884,0.855,0.821,0.000,0.003,455,13348,10763,269884
26,CYS,1.007,0.985,0.918,1.0,50,2804,4966,280428,1.749,1.704,0.000,0.0,230,2804,13155,280428,1.995,1.974,0.000,0.0,56,2804,2808,280428,1.862,1.842,0.000,0.0,205,2804,11013,280428
27,MSE,1.057,1.080,0.822,1.0,9,481,5007,282751,1.409,1.348,0.110,0.135,32,481,13353,282751,1.853,1.908,0.057,0.18,9,481,2855,282751,1.05,1.058,0.808,1.0,20,481,11198,282751
28,VAL,1.284,1.297,0.000,0.0,419,18778,4597,264454,1.942,1.979,0.000,0.0,1622,18778,11763,264454,2.26,2.305,0.000,0.0,396,18778,2468,264454,1.822,1.856,0.000,0.0,1285,18778,9933,264454
29,ARG,1.343,1.351,0.000,0.0,372,15947,4644,267285,0.699,0.700,0.000,0.0,536,15947,12849,267285,0.708,0.709,0.000,0.001,116,15947,2748,267285,0.756,0.760,0.000,0.0,484,15947,10734,267285
30,HIS,1.362,1.342,0.000,0.0,162,6774,4854,276458,1.032,1.012,0.835,0.98,330,6774,13055,276458,0.963,0.946,0.660,1.0,66,6774,2798,276458,0.968,0.952,0.442,1.0,260,6774,10958,276458
31,ILE,1.693,1.742,0.000,0.0,433,14969,4583,268263,1.786,1.852,0.000,0.0,1213,14969,12172,268263,1.988,2.055,0.000,0.0,286,14969,2578,268263,1.706,1.763,0.000,0.0,975,14969,10243,268263
32,LEU,1.713,1.744,0.000,0.0,766,26969,4250,256263,1.472,1.522,0.000,0.0,1795,26969,11590,256263,1.349,1.386,0.000,0.0,356,26969,2508,256263,1.21,1.238,0.000,0.0,1267,26969,9951,256263
33,MET,1.735,1.745,0.000,0.0,191,6320,4825,276912,1.426,1.448,0.000,0.0,422,6320,12963,276912,1.066,1.076,0.553,1.0,68,6320,2796,276912,1.233,1.243,0.000,0.002,307,6320,10911,276912
34,PHE,2.133,2.154,0.000,0.0,355,9767,4661,273465,1.709,1.739,0.000,0.0,770,9767,12615,273465,1.482,1.480,0.000,0.0,144,9767,2720,273465,1.284,1.278,0.000,0.0,492,9767,10726,273465
35,TYR,2.379,2.452,0.000,0.0,327,8067,4689,275165,1.39,1.425,0.000,0.0,524,8067,12861,275165,1.492,1.523,0.000,0.0,120,8067,2744,275165,1.402,1.428,0.000,0.0,443,8067,10775,275165
36,TRP,2.462,2.448,0.000,0.0,161,3764,4855,279468,1.604,1.596,0.000,0.0,283,3764,13102,279468,1.292,1.250,0.124,0.209,49,3764,2815,279468,1.136,1.093,0.269,0.241,169,3764,11049,279468
