,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,LLP,0.0,0.000,0.869,1.0,0,1,2505,166472,0.0,0.000,0.764,1.0,0,1,6436,166472,0.0,0.000,0.928,1.0,0,1,1451,166472,0.0,0.000,0.857,1.0,0,1,5701,166472
1,KCX,0.0,0.000,0.868,1.0,0,1,2505,166472,0.0,0.000,0.724,1.0,0,1,6436,166472,0.0,0.000,0.885,1.0,0,1,1451,166472,0.0,0.000,0.773,1.0,0,1,5701,166472
2,143,0.0,0.000,0.898,1.0,0,1,2505,166472,0.0,0.000,0.836,1.0,0,1,6436,166472,0.0,0.000,0.928,1.0,0,1,1451,166472,0.0,0.000,0.856,1.0,0,1,5701,166472
3,CSS,0.0,0.000,0.845,1.0,0,1,2505,166472,0.0,0.000,0.826,1.0,0,1,6436,166472,0.0,0.000,0.890,1.0,0,1,1451,166472,0.0,0.000,0.782,1.0,0,1,5701,166472
4,CAS,0.0,0.000,0.939,1.0,0,1,2505,166472,0.0,0.000,0.919,1.0,0,1,6436,166472,0.0,0.000,0.957,1.0,0,1,1451,166472,0.0,0.000,0.913,1.0,0,1,5701,166472
5,SEP,0.0,0.000,0.913,1.0,0,2,2505,166471,0.0,0.000,0.886,1.0,0,2,6436,166471,0.0,0.000,0.939,1.0,0,2,1451,166471,0.0,0.000,0.878,1.0,0,2,5701,166471
6,CSO,0.0,0.000,0.708,1.0,0,8,2505,166465,0.0,0.000,0.641,1.0,0,8,6436,166465,0.0,0.000,0.800,1.0,0,8,1451,166465,0.0,0.000,0.612,1.0,0,8,5701,166465
7,DHA,0.0,0.000,0.865,1.0,0,1,2505,166472,0.0,0.000,0.810,1.0,0,1,6436,166472,0.0,0.000,0.932,1.0,0,1,1451,166472,0.0,0.000,0.865,1.0,0,1,5701,166472
8,CME,0.0,0.000,0.751,1.0,0,4,2505,166469,0.0,0.000,0.607,1.0,0,4,6436,166469,0.0,0.000,0.818,1.0,0,4,1451,166469,0.0,0.000,0.645,1.0,0,4,5701,166469
9,TPO,0.0,0.000,0.934,1.0,0,1,2505,166472,0.0,0.000,0.906,1.0,0,1,6436,166472,0.0,0.000,0.953,1.0,0,1,1451,166472,0.0,0.000,0.906,1.0,0,1,5701,166472
10,GLY,0.356,0.335,0.000,0.0,55,9878,2450,156595,0.691,0.644,0.000,0.0,269,9878,6167,156595,0.95,0.893,0.325,1.0,82,9878,1369,156595,1.094,1.030,0.598,0.197,368,9878,5333,156595
11,SER,0.416,0.420,0.000,0.0,77,11797,2428,154676,0.706,0.719,0.000,0.0,329,11797,6107,154676,0.625,0.634,0.000,0.0,66,11797,1385,154676,0.884,0.898,0.053,0.054,360,11797,5341,154676
12,ALA,0.532,0.518,0.000,0.0,83,10081,2422,156392,1.061,1.025,0.638,0.425,412,10081,6024,156392,1.173,1.146,0.188,0.244,102,10081,1349,156392,1.13,1.106,0.062,0.054,387,10081,5314,156392
13,ASN,0.574,0.579,0.000,0.0,78,8828,2427,157645,0.435,0.440,0.000,0.0,153,8828,6283,157645,0.519,0.524,0.000,0.0,41,8828,1410,157645,0.609,0.618,0.000,0.0,188,8828,5513,157645
14,ASP,0.6,0.588,0.000,0.0,99,10677,2406,155796,0.485,0.476,0.000,0.0,207,10677,6229,155796,0.392,0.383,0.000,0.0,38,10677,1413,155796,0.489,0.479,0.000,0.0,185,10677,5516,155796
15,LYS,0.641,0.634,0.000,0.0,126,12709,2379,153764,0.497,0.491,0.000,0.0,254,12709,6182,153764,0.414,0.408,0.000,0.0,48,12709,1403,153764,0.541,0.533,0.000,0.0,244,12709,5457,153764
16,GLU,0.653,0.642,0.000,0.0,117,11616,2388,154857,0.428,0.419,0.000,0.0,200,11616,6236,154857,0.388,0.382,0.000,0.0,41,11616,1410,154857,0.427,0.420,0.000,0.0,177,11616,5524,154857
17,PRO,0.677,0.643,0.000,0.001,77,7445,2428,159028,0.76,0.716,0.000,0.0,221,7445,6215,159028,0.543,0.514,0.000,0.0,36,7445,1415,159028,0.914,0.869,0.039,0.341,234,7445,5467,159028
18,THR,0.74,0.742,0.003,0.005,102,9026,2403,157447,1.027,1.027,0.629,0.982,358,9026,6078,157447,0.661,0.663,0.003,0.006,53,9026,1398,157447,1.027,1.034,0.567,0.967,317,9026,5384,157447
19,CYS,0.768,0.793,0.260,0.359,24,2070,2481,164403,2.064,2.153,0.000,0.0,163,2070,6273,164403,1.791,1.874,0.000,0.007,32,2070,1419,164403,1.635,1.702,0.000,0.0,115,2070,5586,164403
20,GLN,1.037,1.036,0.733,1.0,97,6226,2408,160247,0.572,0.572,0.000,0.0,140,6226,6296,160247,0.525,0.525,0.001,0.001,29,6226,1422,160247,0.643,0.641,0.000,0.0,139,6226,5562,160247
21,VAL,1.262,1.261,0.002,0.006,189,10114,2316,156359,1.92,1.910,0.000,0.0,711,10114,5725,156359,2.587,2.580,0.000,0.0,208,10114,1243,156359,1.876,1.865,0.000,0.0,617,10114,5084,156359
22,ILE,1.346,1.385,0.000,0.0,216,10910,2289,155563,1.898,1.977,0.000,0.0,756,10910,5680,155563,2.175,2.249,0.000,0.0,192,10910,1259,155563,1.562,1.616,0.000,0.0,563,10910,5138,155563
23,HIS,1.392,1.378,0.006,0.012,78,3757,2427,162716,1.019,0.996,0.958,1.0,148,3757,6288,162716,0.759,0.749,0.152,0.377,25,3757,1426,162716,1.05,1.038,0.679,0.89,135,3757,5566,162716
24,LEU,1.514,1.585,0.000,0.0,342,15741,2163,150732,1.597,1.684,0.000,0.0,920,15741,5516,150732,1.212,1.275,0.004,0.055,163,15741,1288,150732,1.256,1.320,0.000,0.0,661,15741,5040,150732
25,ARG,1.537,1.516,0.000,0.0,165,7301,2340,159172,0.62,0.612,0.000,0.0,178,7301,6258,159172,0.73,0.722,0.028,0.071,47,7301,1404,159172,0.838,0.824,0.007,0.03,211,7301,5490,159172
26,MET,1.756,1.791,0.000,0.0,77,2953,2428,163520,1.376,1.426,0.000,0.0,156,2953,6280,163520,1.129,1.160,0.432,0.816,29,2953,1422,163520,1.323,1.352,0.001,0.007,133,2953,5568,163520
27,PHE,2.1,2.198,0.000,0.0,224,7436,2281,159037,1.65,1.741,0.000,0.0,461,7436,5975,159037,1.893,1.972,0.000,0.0,118,7436,1333,159037,1.301,1.354,0.000,0.0,327,7436,5374,159037
28,MSE,2.203,2.029,0.116,0.134,5,151,2500,166322,2.058,1.746,0.066,0.038,12,151,6424,166322,2.282,2.275,0.157,0.281,3,151,1448,166322,0.58,0.562,0.318,0.836,3,151,5698,166322
29,TYR,2.28,2.337,0.000,0.0,194,5911,2311,160562,1.222,1.262,0.000,0.003,277,5911,6159,160562,1.606,1.648,0.000,0.0,81,5911,1370,160562,1.288,1.322,0.000,0.0,258,5911,5443,160562
30,TRP,2.941,3.083,0.000,0.0,79,1823,2426,164650,1.585,1.670,0.000,0.0,111,1823,6325,164650,1.071,1.115,0.660,1.0,17,1823,1434,164650,1.237,1.285,0.035,0.142,77,1823,5624,164650
31,ALY,33.24,38.492,0.000,0.074,1,2,2504,166471,0.0,0.000,0.775,1.0,0,2,6436,166471,0.0,0.000,0.888,1.0,0,2,1451,166471,0.0,0.000,0.779,1.0,0,2,5701,166471
